timestamp, last_tc_value, tmp_id, throughput, buffer, stallDuration, representationId, 
1646807809, 20000, dashjs3.1.3_c18, 24353, 0, 0, bbb_30fps_320x180_400k, 
1646807809, 20000, dashjs3.1.3_c18, 24353, 4, 0, bbb_30fps_1280x720_4000k, 
1646807810, 20000, dashjs3.1.3_c18, 21952, 3.08, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807811, 20000, dashjs3.1.3_c70, 8983, 0, 0, bbb_30fps_1280x720_4000k, 
1646807812, 20000, dashjs3.1.3_c18, 18775, 5.83, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807813, 20000, dashjs3.1.3_c18, 16654, 8.329, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807813, 20000, dashjs3.1.3_c70, 9537, 2.25, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807815, 20000, dashjs3.1.3_c18, 15429, 10.579, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807815, 20000, dashjs3.1.3_c70, 9823, 4.5, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807816, 20000, dashjs3.1.3_c18, 10893, 13.328, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807816, 20000, dashjs3.1.3_c70, 10026, 6.999, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807818, 20000, dashjs3.1.3_c18, 10326, 15.578, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807818, 20000, dashjs3.1.3_c70, 10368, 9.499, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807819, 20000, dashjs3.1.3_c70, 10341, 11.999, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807819, 20000, dashjs3.1.3_c18, 10421, 18.077, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807820, 20000, dashjs3.1.3_c70, 12262, 15.248, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807821, 20000, dashjs3.1.3_c70, 14209, 18.248, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807823, 20000, dashjs3.1.3_c18, 12397, 18.576, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807824, 20000, dashjs3.1.3_c70, 16143, 18.997, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807826, 20000, dashjs3.1.3_c18, 14471, 18.825, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807828, 20000, dashjs3.1.3_c70, 20214, 19.246, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807830, 20000, dashjs3.1.3_c18, 16553, 19.324, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807832, 20000, dashjs3.1.3_c70, 20411, 18.995, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807836, 8000, dashjs3.1.3_c18, 15033, 17.569, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807838, 8000, dashjs3.1.3_c70, 17825, 17.743, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807840, 8000, dashjs3.1.3_c18, 15377, 17.317, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807842, 8000, dashjs3.1.3_c70, 15165, 17.492, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807845, 8000, dashjs3.1.3_c18, 12582, 16.816, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807848, 8000, dashjs3.1.3_c70, 13506, 16.241, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807849, 8000, dashjs3.1.3_c18, 11273, 16.315, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807852, 8000, dashjs3.1.3_c70, 10912, 16.24, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807853, 8000, dashjs3.1.3_c18, 6026, 16.564, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807854, 8000, dashjs3.1.3_c70, 5985, 17.729, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807856, 8000, dashjs3.1.3_c18, 6395, 17.563, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807858, 8000, dashjs3.1.3_c70, 6358, 17.728, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807861, 8000, dashjs3.1.3_c18, 6332, 16.098, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807863, 4000, dashjs3.1.3_c18, 6666, 18.06, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807864, 4000, dashjs3.1.3_c70, 6089, 15.718, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807870, 4000, dashjs3.1.3_c70, 5674, 14.466, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807875, 4000, dashjs3.1.3_c18, 6154, 10.807, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
